tweets,category,dates,address,newaddress,lattitude,longitude,coordinates
"VANDALISM - PRIORITY at 2000 NW KEARNEY ST, PORT [Portland Police #PP21000359664] 04:30 #pdx911, 2021-12-27 13:24:02+00:00",VANDALISM - PRIORITY , 2021-12-27 13:24:02+00:00, 2000 NW KEARNEY ST," 2000 NW KEARNEY ST, Portland, OR",45.529097,-122.692668,"-122.692668, 45.529097"
"DISTURBANCE - PRIORITY at 7500 N HEPPNER AVE, PORT [Portland Police #PP21000359704] 04:33 #pdx911, 2021-12-27 12:56:02+00:00",DISTURBANCE - PRIORITY , 2021-12-27 12:56:02+00:00, 7500 N HEPPNER AVE," 7500 N HEPPNER AVE, Portland, OR",45.587181,-122.737021,"-122.737021, 45.587181"
"THEFT - PRIORITY at 11100 SE DIVISION ST, PORT [Portland Police #PP21000359696] 04:25 #pdx911, 2021-12-27 12:51:02+00:00",THEFT - PRIORITY , 2021-12-27 12:51:02+00:00, 11100 SE DIVISION ST," 11100 SE DIVISION ST, Portland, OR",45.504119,-122.54915,"-122.54915, 45.504119"
"THEFT - COLD at 6500 SE 22ND AVE, PORT [Portland Police #PP21000359678] 04:34 #pdx911, 2021-12-27 12:44:02+00:00",THEFT - COLD , 2021-12-27 12:44:02+00:00, 6500 SE 22ND AVE," 6500 SE 22ND AVE, Portland, OR",45.47651534899329,-122.64298818120805,"-122.64298818120805, 45.47651534899329"
"ACCIDENT - HIT &amp; RUN - PRIORITY at 3400 SE POWELL BLVD, PORT [Portland Police #PP21000359661] 02:44 #pdx911, 2021-12-27 12:37:02+00:00",ACCIDENT - HIT &amp; RUN - PRIORITY , 2021-12-27 12:37:02+00:00, 3400 SE POWELL BLVD," 3400 SE POWELL BLVD, Portland, OR",45.496766,-122.629128,"-122.629128, 45.496766"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 2900 N KERBY AVE, PORT [Portland Police #PP21000359692] 04:20 #pdx911, 2021-12-27 12:29:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 12:29:02+00:00, 2900 N KERBY AVE," 2900 N KERBY AVE, Portland, OR",45.543859,-122.671849,"-122.671849, 45.543859"
"UNWANTED PERSON at 7300 SE FOSTER RD, PORT [Portland Police #PP21000359695] 04:08 #pdx911, 2021-12-27 12:26:01+00:00",UNWANTED PERSON , 2021-12-27 12:26:01+00:00, 7300 SE FOSTER RD," 7300 SE FOSTER RD, Portland, OR",45.485928,-122.587813,"-122.587813, 45.485928"
"ACCIDENT - UNKNOWN INJURY at 7400 NE KILLINGSWORTH ST, PORT [Portland Police #PP21000359686] 03:35 #pdx911, 2021-12-27 11:55:02+00:00",ACCIDENT - UNKNOWN INJURY , 2021-12-27 11:55:02+00:00, 7400 NE KILLINGSWORTH ST," 7400 NE KILLINGSWORTH ST, Portland, OR",45.56257,-122.586423,"-122.586423, 45.56257"
"VEHICLE STOLEN - PRIORITY at 13300 SE POWELL BLVD, PORT [Portland Police #PP21000359654] 02:56 #pdx911, 2021-12-27 11:46:02+00:00",VEHICLE STOLEN - PRIORITY , 2021-12-27 11:46:02+00:00, 13300 SE POWELL BLVD," 13300 SE POWELL BLVD, Portland, OR",45.497450216216215,-122.52599986486487,"-122.52599986486487, 45.497450216216215"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 1900 NW NORTHRUP ST, PORT [Portland Police #PP21000359607] 01:11 #pdx911, 2021-12-27 11:36:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 11:36:01+00:00, 1900 NW NORTHRUP ST," 1900 NW NORTHRUP ST, Portland, OR",45.531273,-122.690719,"-122.690719, 45.531273"
"DISTURBANCE - PRIORITY at 4500 SW LURADEL ST, PORT [Portland Police #PP21000359637] 01:54 #pdx911, 2021-12-27 11:10:03+00:00",DISTURBANCE - PRIORITY , 2021-12-27 11:10:03+00:00, 4500 SW LURADEL ST," 4500 SW LURADEL ST, Portland, OR",45.450585,-122.723374,"-122.723374, 45.450585"
"DISTURBANCE - PRIORITY at 2600 NE 82ND AVE, PORT [Portland Police #PP21000359670] 03:04 #pdx911, 2021-12-27 11:10:02+00:00",DISTURBANCE - PRIORITY , 2021-12-27 11:10:02+00:00, 2600 NE 82ND AVE," 2600 NE 82ND AVE, Portland, OR",45.540958,-122.578798,"-122.578798, 45.540958"
"THEFT - COLD at 900 E BURNSIDE ST, PORT [Portland Police #PP21000359646] 02:32 #pdx911, 2021-12-27 11:02:02+00:00",THEFT - COLD , 2021-12-27 11:02:02+00:00, 900 E BURNSIDE ST," 900 E BURNSIDE ST, Portland, OR",45.52283,-122.656473,"-122.656473, 45.52283"
"SUSPICIOUS - PRIORITY at 12300 SE BOISE ST, PORT [Portland Police #PP21000359660] 02:40 #pdx911, 2021-12-27 11:00:02+00:00",SUSPICIOUS - PRIORITY , 2021-12-27 11:00:02+00:00, 12300 SE BOISE ST," 12300 SE BOISE ST, Portland, OR",45.491947,-122.535811,"-122.535811, 45.491947"
"SUSPICIOUS - PRIORITY at 12300 SE ASH ST, PORT [Portland Police #PP21000359633] 01:48 #pdx911, 2021-12-27 10:52:02+00:00",SUSPICIOUS - PRIORITY , 2021-12-27 10:52:02+00:00, 12300 SE ASH ST," 12300 SE ASH ST, Portland, OR",45.52114851151577,-122.53646223976872,"-122.53646223976872, 45.52114851151577"
"VEHICLE STOLEN - COLD at 6000 N MICHIGAN AVE, PORT [Portland Police #PP21000359647] 02:25 #pdx911, 2021-12-27 10:50:02+00:00",VEHICLE STOLEN - COLD , 2021-12-27 10:50:02+00:00, 6000 N MICHIGAN AVE," 6000 N MICHIGAN AVE, Portland, OR",45.566521,-122.676815,"-122.676815, 45.566521"
"THEFT - COLD at 3500 SE CESAR E CHAVEZ BLVD, PORT [Portland Police #PP21000359628] 02:14 #pdx911, 2021-12-27 10:34:02+00:00",THEFT - COLD , 2021-12-27 10:34:02+00:00, 3500 SE CESAR E CHAVEZ BLVD," 3500 SE CESAR E CHAVEZ BLVD, Portland, OR",45.497208,-122.62248,"-122.62248, 45.497208"
"UNWANTED PERSON at 300 SW HARVEY MILK ST, PORT [Portland Police #PP21000359649] 02:20 #pdx911, 2021-12-27 10:34:02+00:00",UNWANTED PERSON , 2021-12-27 10:34:02+00:00, 300 SW HARVEY MILK ST," 300 SW HARVEY MILK ST, Portland, OR",45.520215,-122.674659,"-122.674659, 45.520215"
"ACCIDENT - INJURY at 13500 NE HALSEY ST, PORT [Portland Police #PP21000359614] 00:58 #pdx911, 2021-12-27 10:25:01+00:00",ACCIDENT - INJURY , 2021-12-27 10:25:01+00:00, 13500 NE HALSEY ST," 13500 NE HALSEY ST, Portland, OR",45.53348204054054,-122.52380147297298,"-122.52380147297298, 45.53348204054054"
"SHOTS FIRED at 9600 SE STARK ST, PORT [Portland Police #PP21000359631] 01:44 #pdx911, 2021-12-27 10:14:01+00:00",SHOTS FIRED , 2021-12-27 10:14:01+00:00, 9600 SE STARK ST," 9600 SE STARK ST, Portland, OR",45.518955,-122.563497,"-122.563497, 45.518955"
"VEHICLE STOLEN - COLD at 3600 NE 157TH AVE, PORT [Portland Police #PP21000359569] 00:51 #pdx911, 2021-12-27 10:06:02+00:00",VEHICLE STOLEN - COLD , 2021-12-27 10:06:02+00:00, 3600 NE 157TH AVE," 3600 NE 157TH AVE, Portland, OR",45.548737,-122.501392,"-122.501392, 45.548737"
"THEFT - PRIORITY at 1900 SE HAWTHORNE BLVD, PORT [Portland Police #PP21000359639] 02:01 #pdx911, 2021-12-27 10:06:02+00:00",THEFT - PRIORITY , 2021-12-27 10:06:02+00:00, 1900 SE HAWTHORNE BLVD," 1900 SE HAWTHORNE BLVD, Portland, OR",45.512094,-122.645858,"-122.645858, 45.512094"
"UNWANTED PERSON at 1500 NE 8TH AVE, PORT [Portland Police #PP21000359620] 02:02 #pdx911, 2021-12-27 10:06:01+00:00",UNWANTED PERSON , 2021-12-27 10:06:01+00:00, 1500 NE 8TH AVE," 1500 NE 8TH AVE, Portland, OR",45.533745,-122.657476,"-122.657476, 45.533745"
"ASSAULT - PRIORITY at 11900 NE AIRPORT WAY, PORT [Portland Police #PP21000359613] 00:56 #pdx911, 2021-12-27 10:00:01+00:00",ASSAULT - PRIORITY , 2021-12-27 10:00:01+00:00, 11900 NE AIRPORT WAY," 11900 NE AIRPORT WAY, Portland, OR",45.566925,-122.542075,"-122.542075, 45.566925"
"BURGLARY - COLD at 0 NW DAVIS ST, PORT [Portland Police #PP21000359604] 00:41 #pdx911, 2021-12-27 09:52:01+00:00",BURGLARY - COLD , 2021-12-27 09:52:01+00:00, 0 NW DAVIS ST," 0 NW DAVIS ST, Portland, OR",45.5245994,-122.670259,"-122.670259, 45.5245994"
"DISTURBANCE - PRIORITY at 400 NE GOING ST, PORT [Portland Police #PP21000359618] 01:13 #pdx911, 2021-12-27 09:50:02+00:00",DISTURBANCE - PRIORITY , 2021-12-27 09:50:02+00:00, 400 NE GOING ST," 400 NE GOING ST, Portland, OR",45.55632,-122.661376,"-122.661376, 45.55632"
"VEHICLE STOLEN - PRIORITY at 16600 SE DIVISION ST, PORT [Portland Police #PP21000359617] 01:08 #pdx911, 2021-12-27 09:44:02+00:00",VEHICLE STOLEN - PRIORITY , 2021-12-27 09:44:02+00:00, 16600 SE DIVISION ST," 16600 SE DIVISION ST, Portland, OR",45.50449704855398,-122.49259297956021,"-122.49259297956021, 45.50449704855398"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 4200 SE RAMONA ST, PORT [Portland Police #PP21000359626] 01:34 #pdx911, 2021-12-27 09:38:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 09:38:02+00:00, 4200 SE RAMONA ST," 4200 SE RAMONA ST, Portland, OR",45.480546,-122.61942,"-122.61942, 45.480546"
"UNWANTED PERSON at 7600 SE 82ND AVE, PORT [Portland Police #PP21000359624] 01:27 #pdx911, 2021-12-27 09:36:02+00:00",UNWANTED PERSON , 2021-12-27 09:36:02+00:00, 7600 SE 82ND AVE," 7600 SE 82ND AVE, Portland, OR",45.468317898989895,-122.57892104040404,"-122.57892104040404, 45.468317898989895"
"SHOTS FIRED at 14100 SE DIVISION ST, PORT [Portland Police #PP21000359490] 21:55 #pdx911, 2021-12-27 09:30:02+00:00",SHOTS FIRED , 2021-12-27 09:30:02+00:00, 14100 SE DIVISION ST," 14100 SE DIVISION ST, Portland, OR",45.50402480851064,-122.51866438297873,"-122.51866438297873, 45.50402480851064"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 4200 N MISSISSIPPI AVE, PORT [Portland Police #PP21000359605] 00:53 #pdx911, 2021-12-27 09:30:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 09:30:02+00:00, 4200 N MISSISSIPPI AVE," 4200 N MISSISSIPPI AVE, Portland, OR",45.553990121212124,-122.67509546464647,"-122.67509546464647, 45.553990121212124"
"VEHICLE STOLEN - COLD at 7000 NE 82ND AVE, PORT [Portland Police #PP21000359415] 21:33 #pdx911, 2021-12-27 09:16:02+00:00",VEHICLE STOLEN - COLD , 2021-12-27 09:16:02+00:00, 7000 NE 82ND AVE," 7000 NE 82ND AVE, Portland, OR",45.57116435714286,-122.57757187969925,"-122.57757187969925, 45.57116435714286"
"UNWANTED PERSON at 1000 N ANCHOR WAY, PORT [Portland Police #PP21000359611] 00:56 #pdx911, 2021-12-27 09:16:02+00:00",UNWANTED PERSON , 2021-12-27 09:16:02+00:00, 1000 N ANCHOR WAY," 1000 N ANCHOR WAY, Portland, OR",45.603661,-122.677121,"-122.677121, 45.603661"
"VEHICLE STOLEN - PRIORITY at 14700 NE KNOTT CT, PORT [Portland Police #PP21000359541] 23:03 #pdx911, 2021-12-27 09:06:02+00:00",VEHICLE STOLEN - PRIORITY , 2021-12-27 09:06:02+00:00, 14700 NE KNOTT CT," 14700 NE KNOTT CT, Portland, OR",45.54206619955258,-122.51151317894609,"-122.51151317894609, 45.54206619955258"
"UNWANTED PERSON at 600 NW 6TH AVE, PORT [Portland Police #PP21000359594] 00:26 #pdx911, 2021-12-27 08:58:02+00:00",UNWANTED PERSON , 2021-12-27 08:58:02+00:00, 600 NW 6TH AVE," 600 NW 6TH AVE, Portland, OR",45.52746,-122.676467,"-122.676467, 45.52746"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 0 NE SACRAMENTO ST, PORT [Portland Police #PP21000359601] 00:43 #pdx911, 2021-12-27 08:56:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 08:56:01+00:00, 0 NE SACRAMENTO ST," 0 NE SACRAMENTO ST, Portland, OR",45.540458,-122.497546,"-122.497546, 45.540458"
"PREMISE CHECK at 200 SE 103RD AVE, PORT [Portland Police #PP21000359602] 00:36 #pdx911, 2021-12-27 08:52:02+00:00",PREMISE CHECK , 2021-12-27 08:52:02+00:00, 200 SE 103RD AVE," 200 SE 103RD AVE, Portland, OR",45.521031575757576,-122.55691771717171,"-122.55691771717171, 45.521031575757576"
"UNWANTED PERSON at 5900 SE DUKE ST, PORT [Portland Police #PP21000359555] 00:37 #pdx911, 2021-12-27 08:52:02+00:00",UNWANTED PERSON , 2021-12-27 08:52:02+00:00, 5900 SE DUKE ST," 5900 SE DUKE ST, Portland, OR",45.47574,-122.60308510526316,"-122.60308510526316, 45.47574"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 10800 NE HOLMAN ST, PORT [Portland Police #PP21000359567] 00:28 #pdx911, 2021-12-27 08:42:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 08:42:01+00:00, 10800 NE HOLMAN ST," 10800 NE HOLMAN ST, Portland, OR",45.567834250000004,-122.55132419120363,"-122.55132419120363, 45.567834250000004"
"ROBBERY - WITH WEAPON *H at 8200 NE SANDY BLVD, PORT [Portland Police #PP21000359529] 22:49 #pdx911, 2021-12-27 08:35:02+00:00",ROBBERY - WITH WEAPON *H , 2021-12-27 08:35:02+00:00, 8200 NE SANDY BLVD," 8200 NE SANDY BLVD, Portland, OR",45.552414,-122.578458,"-122.578458, 45.552414"
"DISTURBANCE - PRIORITY at 9200 SE STARK ST, PORT [Portland Police #PP21000359586] 00:12 #pdx911, 2021-12-27 08:35:01+00:00",DISTURBANCE - PRIORITY , 2021-12-27 08:35:01+00:00, 9200 SE STARK ST," 9200 SE STARK ST, Portland, OR",45.518983,-122.568924,"-122.568924, 45.518983"
"UNWANTED PERSON at 400 NW 10TH AVE, PORT [Portland Police #PP21000359539] 23:15 #pdx911, 2021-12-27 08:28:02+00:00",UNWANTED PERSON , 2021-12-27 08:28:02+00:00, 400 NW 10TH AVE," 400 NW 10TH AVE, Portland, OR",45.525949,-122.681095,"-122.681095, 45.525949"
"AREA CHECK at 4600 NE 118TH AVE, PORT [Portland Police #PP21000359578] 00:20 #pdx911, 2021-12-27 08:28:01+00:00",AREA CHECK , 2021-12-27 08:28:01+00:00, 4600 NE 118TH AVE," 4600 NE 118TH AVE, Portland, OR",45.556349600000004,-122.54111484483947,"-122.54111484483947, 45.556349600000004"
"UNWANTED PERSON at 700 SW 6TH AVE, PORT [Portland Police #PP21000359572] 23:47 #pdx911, 2021-12-27 08:27:02+00:00",UNWANTED PERSON , 2021-12-27 08:27:02+00:00, 700 SW 6TH AVE," 700 SW 6TH AVE, Portland, OR",45.51858525,-122.67839650880904,"-122.67839650880904, 45.51858525"
"TRIMET INCIDENT - WITH WEAPON *H at 10200 E BURNSIDE ST, PORT [Portland Police #PP21000359579] 23:58 #pdx911, 2021-12-27 08:24:02+00:00",TRIMET INCIDENT - WITH WEAPON *H , 2021-12-27 08:24:02+00:00, 10200 E BURNSIDE ST," 10200 E BURNSIDE ST, Portland, OR",45.522552,-122.558114,"-122.558114, 45.522552"
"THEFT - PRIORITY at 5100 SE WOODSTOCK BLVD, PORT [Portland Police #PP21000359552] 23:25 #pdx911, 2021-12-27 08:19:02+00:00",THEFT - PRIORITY , 2021-12-27 08:19:02+00:00, 5100 SE WOODSTOCK BLVD," 5100 SE WOODSTOCK BLVD, Portland, OR",45.479076,-122.609864,"-122.609864, 45.479076"
"BURGLARY - PRIORITY *H at 3300 NE ALAMEDA ST, PORT [Portland Police #PP21000359587] 00:12 #pdx911, 2021-12-27 08:19:02+00:00",BURGLARY - PRIORITY *H , 2021-12-27 08:19:02+00:00, 3300 NE ALAMEDA ST," 3300 NE ALAMEDA ST, Portland, OR",45.548852,-122.630514,"-122.630514, 45.548852"
"SUSPICIOUS - WITH WEAPON *H at 1200 SW COLUMBIA ST, PORT [Portland Police #PP21000359583] 00:02 #pdx911, 2021-12-27 08:12:01+00:00",SUSPICIOUS - WITH WEAPON *H , 2021-12-27 08:12:01+00:00, 1200 SW COLUMBIA ST," 1200 SW COLUMBIA ST, Portland, OR",45.515854,-122.686876,"-122.686876, 45.515854"
"SHOTS FIRED at 3400 SE 116TH AVE, PORT [Portland Police #PP21000359577] 23:49 #pdx911, 2021-12-27 08:08:01+00:00",SHOTS FIRED , 2021-12-27 08:08:01+00:00, 3400 SE 116TH AVE," 3400 SE 116TH AVE, Portland, OR",45.49765358577406,-122.54335417991632,"-122.54335417991632, 45.49765358577406"
"SUSPICIOUS - WITH WEAPON *H at 9900 NE SANDY BLVD, PORT [Portland Police #PP21000359581] 00:00 #pdx911, 2021-12-27 08:08:01+00:00",SUSPICIOUS - WITH WEAPON *H , 2021-12-27 08:08:01+00:00, 9900 NE SANDY BLVD," 9900 NE SANDY BLVD, Portland, OR",45.559293,-122.560648,"-122.560648, 45.559293"
"THEFT - COLD at 9100 SE FLAVEL ST, PORT [Portland Police #PP21000359535] 23:35 #pdx911, 2021-12-27 08:03:02+00:00",THEFT - COLD , 2021-12-27 08:03:02+00:00, 9100 SE FLAVEL ST," 9100 SE FLAVEL ST, Portland, OR",45.46837,-122.569543,"-122.569543, 45.46837"
"ASSAULT - COLD at 400 SE 14TH AVE, PORT [Portland Police #PP21000359489] 22:55 #pdx911, 2021-12-27 08:01:01+00:00",ASSAULT - COLD , 2021-12-27 08:01:01+00:00, 400 SE 14TH AVE," 400 SE 14TH AVE, Portland, OR",45.51992,-122.651479,"-122.651479, 45.51992"
"UNWANTED PERSON at 9800 SE WASHINGTON ST, PORT [Portland Police #PP21000359563] 23:38 #pdx911, 2021-12-27 07:56:02+00:00",UNWANTED PERSON , 2021-12-27 07:56:02+00:00, 9800 SE WASHINGTON ST," 9800 SE WASHINGTON ST, Portland, OR",45.5154779,-122.56216649744093,"-122.56216649744093, 45.5154779"
"NOISE DISTURBANCE at 4200 SE ANDEREGG DR, PORT [Portland Police #PP21000359571] 23:52 #pdx911, 2021-12-27 07:56:01+00:00",NOISE DISTURBANCE , 2021-12-27 07:56:01+00:00, 4200 SE ANDEREGG DR," 4200 SE ANDEREGG DR, Portland, OR",45.491927,-122.492468,"-122.492468, 45.491927"
"AREA CHECK at 5400 N ALBINA AVE, PORT [Portland Police #PP21000359559] 23:37 #pdx911, 2021-12-27 07:46:01+00:00",AREA CHECK , 2021-12-27 07:46:01+00:00, 5400 N ALBINA AVE," 5400 N ALBINA AVE, Portland, OR",45.561987,-122.674856,"-122.674856, 45.561987"
"SHOTS FIRED at 2600 NE 111TH DR, PORT [Portland Police #PP21000359556] 23:28 #pdx911, 2021-12-27 07:44:01+00:00",SHOTS FIRED , 2021-12-27 07:44:01+00:00, 2600 NE 111TH DR," 2600 NE 111TH DR, Portland, OR",45.540957,-122.548884,"-122.548884, 45.540957"
"SHOTS FIRED at 2400 NE 9TH AVE, PORT [Portland Police #PP21000359551] 23:27 #pdx911, 2021-12-27 07:43:02+00:00",SHOTS FIRED , 2021-12-27 07:43:02+00:00, 2400 NE 9TH AVE," 2400 NE 9TH AVE, Portland, OR",45.53977401010101,-122.65642395959595,"-122.65642395959595, 45.53977401010101"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 7700 N WOOLSEY AVE, PORT [Portland Police #PP21000359549] 23:33 #pdx911, 2021-12-27 07:43:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 07:43:02+00:00, 7700 N WOOLSEY AVE," 7700 N WOOLSEY AVE, Portland, OR",45.57970594974874,-122.71337947738694,"-122.71337947738694, 45.57970594974874"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 15100 SE HAWTHORNE CT, PORT [Portland Police #PP21000359558] 23:35 #pdx911, 2021-12-27 07:43:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 07:43:02+00:00, 15100 SE HAWTHORNE CT," 15100 SE HAWTHORNE CT, Portland, OR",45.512338,-122.507475,"-122.507475, 45.512338"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 1400 N HAYDEN ISLAND DR, PORT [Portland Police #PP21000359565] 23:35 #pdx911, 2021-12-27 07:43:01+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 07:43:01+00:00, 1400 N HAYDEN ISLAND DR," 1400 N HAYDEN ISLAND DR, Portland, OR",45.6129057,-122.6779658,"-122.6779658, 45.6129057"
"VEHICLE STOLEN - COLD at 17000 SE POWELL BLVD, PORT [Portland Police #PP21000359393] 23:20 #pdx911, 2021-12-27 07:40:01+00:00",VEHICLE STOLEN - COLD , 2021-12-27 07:40:01+00:00, 17000 SE POWELL BLVD," 17000 SE POWELL BLVD, Portland, OR",45.492838,-122.487732,"-122.487732, 45.492838"
"THEFT - PRIORITY at 6000 SW RAAB RD, PORT [Portland Police #PP21000359540] 23:06 #pdx911, 2021-12-27 07:38:02+00:00",THEFT - PRIORITY , 2021-12-27 07:38:02+00:00, 6000 SW RAAB RD," 6000 SW RAAB RD, Portland, OR",45.507078,-122.738123,"-122.738123, 45.507078"
"AREA CHECK at 8100 N HAVEN AVE, PORT [Portland Police #PP21000359532] 23:16 #pdx911, 2021-12-27 07:32:02+00:00",AREA CHECK , 2021-12-27 07:32:02+00:00, 8100 N HAVEN AVE," 8100 N HAVEN AVE, Portland, OR",45.582971,-122.718358,"-122.718358, 45.582971"
"THEFT - COLD at 2400 N LOMBARD ST, PORT [Portland Police #PP21000359453] 22:32 #pdx911, 2021-12-27 07:26:02+00:00",THEFT - COLD , 2021-12-27 07:26:02+00:00, 2400 N LOMBARD ST," 2400 N LOMBARD ST, Portland, OR",45.577035,-122.691579,"-122.691579, 45.577035"
"VEHICLE STOLEN - PRIORITY at 4400 SE 91ST AVE, PORT [Portland Police #PP21000359501] 22:15 #pdx911, 2021-12-27 07:24:01+00:00",VEHICLE STOLEN - PRIORITY , 2021-12-27 07:24:01+00:00, 4400 SE 91ST AVE," 4400 SE 91ST AVE, Portland, OR",45.490499444444445,-122.569423,"-122.569423, 45.490499444444445"
"UNWANTED PERSON at 1700 NE 122ND AVE, PORT [Portland Police #PP21000359524] 22:42 #pdx911, 2021-12-27 07:19:02+00:00",UNWANTED PERSON , 2021-12-27 07:19:02+00:00, 1700 NE 122ND AVE," 1700 NE 122ND AVE, Portland, OR",45.53541439568345,-122.53751130215826,"-122.53751130215826, 45.53541439568345"
"UNWANTED PERSON at 1000 NW 16TH AVE, PORT [Portland Police #PP21000359526] 22:43 #pdx911, 2021-12-27 07:19:02+00:00",UNWANTED PERSON , 2021-12-27 07:19:02+00:00, 1000 NW 16TH AVE," 1000 NW 16TH AVE, Portland, OR",45.530112,-122.687358,"-122.687358, 45.530112"
"DISTURBANCE - PRIORITY at 16100 SE SHERMAN ST, PORT [Portland Police #PP21000359531] 22:44 #pdx911, 2021-12-27 07:09:01+00:00",DISTURBANCE - PRIORITY , 2021-12-27 07:09:01+00:00, 16100 SE SHERMAN ST," 16100 SE SHERMAN ST, Portland, OR",45.50602212039993,-122.49752618755701,"-122.49752618755701, 45.50602212039993"
"VEHICLE STOLEN - COLD at 2000 NE LOMBARD ST, PORT [Portland Police #PP21000359520] 22:33 #pdx911, 2021-12-27 07:06:02+00:00",VEHICLE STOLEN - COLD , 2021-12-27 07:06:02+00:00, 2000 NE LOMBARD ST," 2000 NE LOMBARD ST, Portland, OR",45.57516789247312,-122.64490074193549,"-122.64490074193549, 45.57516789247312"
"SUSPICIOUS - WITH WEAPON *H at 4500 SE ANDEREGG LOOP, PORT [Portland Police #PP21000359521] 22:34 #pdx911, 2021-12-27 07:05:02+00:00",SUSPICIOUS - WITH WEAPON *H , 2021-12-27 07:05:02+00:00, 4500 SE ANDEREGG LOOP," 4500 SE ANDEREGG LOOP, Portland, OR",45.49013398613681,-122.49343654041338,"-122.49343654041338, 45.49013398613681"
"AREA CHECK at 3700 SE BELMONT ST, PORT [Portland Police #PP21000359510] 22:41 #pdx911, 2021-12-27 07:05:02+00:00",AREA CHECK , 2021-12-27 07:05:02+00:00, 3700 SE BELMONT ST," 3700 SE BELMONT ST, Portland, OR",45.516358,-122.625676,"-122.625676, 45.516358"
"UNWANTED PERSON at 1000 SW BROADWAY , PORT [Portland Police #PP21000359528] 22:46 #pdx911, 2021-12-27 06:55:02+00:00",UNWANTED PERSON , 2021-12-27 06:55:02+00:00, 1000 SW BROADWAY ," 1000 SW BROADWAY , Portland, OR",45.5171792,-122.680608,"-122.680608, 45.5171792"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 3800 NE 82ND AVE, PORT [Portland Police #PP21000359523] 22:40 #pdx911, 2021-12-27 06:53:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 06:53:02+00:00, 3800 NE 82ND AVE," 3800 NE 82ND AVE, Portland, OR",45.550306,-122.578593,"-122.578593, 45.550306"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 600 SE 137TH AVE, PORT [Portland Police #PP21000359513] 22:41 #pdx911, 2021-12-27 06:51:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 06:51:02+00:00, 600 SE 137TH AVE," 600 SE 137TH AVE, Portland, OR",45.51824034924834,-122.52267637880355,"-122.52267637880355, 45.51824034924834"
"SHOTS FIRED at 6800 SE BELMONT ST, PORT [Portland Police #PP21000359519] 22:32 #pdx911, 2021-12-27 06:48:01+00:00",SHOTS FIRED , 2021-12-27 06:48:01+00:00, 6800 SE BELMONT ST," 6800 SE BELMONT ST, Portland, OR",45.516848,-122.593027,"-122.593027, 45.516848"
"VEHICLE STOLEN - COLD at 2200 SE 89TH AVE, PORT [Portland Police #PP21000359481] 21:59 #pdx911, 2021-12-27 06:46:01+00:00",VEHICLE STOLEN - COLD , 2021-12-27 06:46:01+00:00, 2200 SE 89TH AVE," 2200 SE 89TH AVE, Portland, OR",45.507017,-122.572134,"-122.572134, 45.507017"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 16000 E BURNSIDE ST, MULT [Portland Police #PP21000359495] 22:18 #pdx911, 2021-12-27 06:40:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 06:40:02+00:00, 16000 E BURNSIDE ST," 16000 E BURNSIDE ST, Portland, OR",45.522025,-122.498836,"-122.498836, 45.522025"
"SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE at 8100 N HAVEN AVE, PORT [Portland Police #PP21000359499] 22:19 #pdx911, 2021-12-27 06:24:02+00:00","SUSPICIOUS SUBJ, VEH, OR CIRCUMSTANCE ", 2021-12-27 06:24:02+00:00, 8100 N HAVEN AVE," 8100 N HAVEN AVE, Portland, OR",45.582971,-122.718358,"-122.718358, 45.582971"
